Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
01-Mar-12,598.00,605.00,590.10,596.50,99885,59683946.90
02-Mar-12,601.05,609.00,595.20,597.90,187541,112632264.65
03-Mar-12,595.20,600.00,595.20,596.35,2048,1223753.20
05-Mar-12,598.00,610.00,594.40,607.05,98585,59520687.55
06-Mar-12,606.90,621.00,600.00,603.80,120213,73446988.75
07-Mar-12,601.25,612.15,598.00,607.35,84154,51015309.05
09-Mar-12,611.60,653.40,610.05,640.95,223319,141355730.15
12-Mar-12,648.00,653.80,629.10,634.05,135424,86253012.65
13-Mar-12,636.90,648.10,634.25,644.35,98516,63111261.85
14-Mar-12,640.40,654.40,632.65,636.85,109444,70577463.90
15-Mar-12,650.00,651.95,615.30,618.30,98456,61460365.05
16-Mar-12,620.05,626.20,603.00,605.45,62009,38104048.35
19-Mar-12,608.90,624.00,606.20,618.55,130109,80340297.70
20-Mar-12,625.00,654.00,617.75,648.70,296193,189909838.50
21-Mar-12,649.00,696.00,648.20,685.10,2558026,1720054214.20
22-Mar-12,690.00,729.90,679.05,724.85,2040974,1457313520.60
23-Mar-12,725.00,749.00,704.50,741.55,1489034,1079656864.40
26-Mar-12,742.50,747.95,715.10,720.50,439020,320180841.30
27-Mar-12,725.05,730.00,695.55,701.75,360199,255280100.15
28-Mar-12,680.20,718.20,680.20,702.75,320647,227037922.30
29-Mar-12,670.20,728.55,670.20,709.65,399910,281808489.60
30-Mar-12,712.40,726.85,712.40,720.75,148444,107192658.45
02-Apr-12,717.95,731.50,711.00,716.55,115279,82979208.05
03-Apr-12,728.45,728.45,713.20,717.10,74179,53293177.20
04-Apr-12,721.90,728.00,709.50,724.55,114625,82441462.90
09-Apr-12,702.25,719.75,702.25,712.90,66698,47532554.75
10-Apr-12,703.50,725.95,703.50,712.10,88985,63742752.95
11-Apr-12,704.95,720.00,699.80,711.20,83133,59432242.35
12-Apr-12,719.25,728.90,712.25,723.55,162161,117420374.30
13-Apr-12,708.00,719.95,680.05,706.05,65302,46499321.35
16-Apr-12,715.85,720.90,707.55,711.50,57823,41338488.10
17-Apr-12,701.50,717.40,701.50,708.20,49560,35192871.30
18-Apr-12,719.80,722.80,708.55,711.45,107368,77012386.60
19-Apr-12,713.40,716.20,706.15,709.70,32629,23188615.15
20-Apr-12,706.20,725.65,706.20,711.25,98992,71017093.90
23-Apr-12,716.95,716.95,693.75,696.80,46064,32381274.50
24-Apr-12,701.05,708.15,693.20,698.05,52612,36856619.95
25-Apr-12,695.00,702.95,683.00,689.90,48153,33314059.90
26-Apr-12,689.00,721.90,686.00,713.75,240506,170808742.95
27-Apr-12,699.90,704.00,687.50,696.95,88714,61798510.70
28-Apr-12,698.80,698.80,690.05,692.30,1921,1332610.65
30-Apr-12,693.95,704.80,692.50,701.75,57075,39952083.65
02-May-12,712.00,712.00,688.05,692.25,78761,54852982.40
03-May-12,692.00,697.00,683.00,689.65,120778,83333530.90
04-May-12,694.00,694.00,670.00,682.25,67581,46007397.45
07-May-12,675.35,687.00,666.90,683.55,78134,52678294.30
08-May-12,687.95,687.95,664.50,667.35,58353,39282216.95
09-May-12,667.00,673.50,651.10,654.90,44842,29765373.90
10-May-12,662.00,664.80,645.95,658.30,87340,57153898.05
11-May-12,661.10,664.20,620.10,637.20,118023,75075301.05
14-May-12,635.00,635.75,621.20,627.05,46878,29396430.25
15-May-12,614.70,640.70,614.70,636.95,70124,44443557.75
16-May-12,625.10,653.00,625.10,635.75,77192,49404504.40
17-May-12,639.35,645.95,605.35,607.90,122095,75556880.80
18-May-12,614.70,639.70,600.00,611.05,444211,272881070.65
21-May-12,614.50,617.50,607.50,611.15,81618,49984132.55
22-May-12,612.30,628.40,608.00,617.90,142912,88657565.65
23-May-12,620.75,624.50,605.40,611.60,165804,101919687.75
24-May-12,629.85,678.90,613.10,666.05,1637360,1080562206.40
25-May-12,666.00,673.40,657.70,666.90,379636,253069569.50
28-May-12,666.90,684.40,662.30,667.50,131458,87850106.20
29-May-12,652.05,674.00,650.65,664.25,105882,70296997.40
30-May-12,664.10,698.00,657.20,689.40,537261,369279281.95
31-May-12,682.00,688.85,666.35,673.55,232702,157660051.95
01-Jun-12,670.90,670.90,655.00,656.55,95068,62913598.05
04-Jun-12,655.05,671.00,638.55,660.55,96251,63095802.00
05-Jun-12,666.95,674.80,660.00,669.25,104116,69480711.15
06-Jun-12,668.00,681.75,668.00,673.75,85435,57748376.50
07-Jun-12,680.00,682.45,663.00,670.55,92162,61795908.35
08-Jun-12,674.80,688.00,668.25,678.90,187496,127320545.20
11-Jun-12,678.25,688.00,664.00,666.80,85309,57887315.45
12-Jun-12,660.55,681.00,660.55,676.30,68545,46131718.80
13-Jun-12,672.30,676.90,665.00,667.10,81058,54329647.00
14-Jun-12,669.80,680.90,663.00,677.70,148651,100469254.70
15-Jun-12,675.10,704.00,672.30,701.00,429821,298258738.50
18-Jun-12,798.00,798.00,681.15,685.30,194672,135502821.85
19-Jun-12,685.00,691.80,680.55,685.35,50277,34523917.30
20-Jun-12,685.00,695.00,683.05,685.70,49066,33769565.95
