Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
06-Aug-12,772.25,772.25,748.15,750.90,224482,169552771.1
07-Aug-12,757.95,771.45,750.15,755.00,273270,207512277.4
08-Aug-12,754.95,766.55,753.70,759.90,133348,101476761.4
09-Aug-12,759.00,774.00,756.85,762.40,274093,209784994.9
10-Aug-12,771.20,805.80,769.50,799.80,1054625,833481739.4
13-Aug-12,806.00,819.90,799.00,817.35,495236,401421635.8
14-Aug-12,818.00,820.00,806.10,816.60,178734,145636914.3
16-Aug-12,814.65,848.00,814.65,845.45,490300,409658031
17-Aug-12,846.00,858.50,840.85,849.00,402668,342556481.4
21-Aug-12,847.85,871.50,844.05,869.00,328224,282985510.5
22-Aug-12,869.75,877.00,852.00,855.70,249190,215207664.2
23-Aug-12,864.30,870.00,850.70,865.65,211485,182542062.9
24-Aug-12,868.10,878.00,862.05,871.35,307303,267634803.4
27-Aug-12,874.20,886.40,866.45,875.10,371508,326080140.8
28-Aug-12,875.00,883.00,833.25,842.95,485432,414339345.8
29-Aug-12,864.45,864.45,832.60,834.90,171901,144779353.8
30-Aug-12,820.00,820.00,781.10,793.05,8936785,7084654303
31-Aug-12,791.10,807.00,782.60,798.60,1019683,814977644.8
03-Sep-12,802.80,815.90,802.00,810.55,607582,491539197.7
04-Sep-12,817.05,835.00,812.00,821.15,1246206,1023301105
05-Sep-12,821.00,838.95,815.00,831.90,1180148,977011999.6
06-Sep-12,835.00,846.20,829.45,838.20,1030899,865816835.7
07-Sep-12,843.90,861.00,843.10,858.85,913480,778771265.3
08-Sep-12,855.00,860.00,851.00,853.10,30606,26124149.9
10-Sep-12,857.95,888.00,857.05,880.05,1528576,1340823061
11-Sep-12,874.35,895.95,874.35,892.55,1024773,912425960.9
12-Sep-12,895.40,933.45,894.10,925.65,2044269,1876301043
13-Sep-12,917.05,932.15,911.35,914.00,968372,887739153.3
14-Sep-12,921.75,930.40,900.70,910.65,1119470,1025349334
17-Sep-12,919.90,919.90,887.00,903.50,1045009,937174306
18-Sep-12,915.85,927.00,895.20,901.35,884793,804444777.5
20-Sep-12,900.00,914.80,895.00,899.00,738331,667559395.3
21-Sep-12,903.30,918.15,902.95,913.35,476295,434235627.3
24-Sep-12,886.00,921.00,886.00,916.15,451034,413010179.2
25-Sep-12,920.05,944.00,915.00,927.50,957807,892569613.9
26-Sep-12,923.05,940.85,915.30,938.25,563848,526715621
27-Sep-12,939.00,959.50,939.00,952.15,1008719,959958929
28-Sep-12,956.95,980.00,956.95,972.05,816813,794850458.4
01-Oct-12,975.55,1042.95,975.50,1025.55,2618076,2665404360
03-Oct-12,1019.40,1028.00,990.65,994.20,1110717,1109109398
04-Oct-12,1000.00,1005.00,967.05,971.80,833967,817635730.2
05-Oct-12,979.80,979.80,943.00,946.80,421837,403068411.5
08-Oct-12,942.00,971.70,935.00,940.05,521222,496991812.3
09-Oct-12,945.70,957.85,936.65,952.45,407153,386239762.1
10-Oct-12,953.80,978.90,948.90,965.30,947047,915565306.1
11-Oct-12,945.00,984.00,944.00,979.50,522074,507559303.8
12-Oct-12,968.95,991.35,958.10,961.85,398494,387681060.1
15-Oct-12,945.00,969.50,935.50,940.55,262620,248940725.5
16-Oct-12,925.05,953.95,915.55,944.65,291684,275867253.8
17-Oct-12,949.90,959.40,945.05,950.55,229898,218749913.7
18-Oct-12,952.00,954.90,930.20,938.55,298501,280962304.2
19-Oct-12,941.95,942.00,918.75,927.95,378785,351213354.1
22-Oct-12,926.00,943.90,922.50,937.65,147585,137871223.1
23-Oct-12,940.15,943.75,928.00,931.40,142430,133224112.2
25-Oct-12,930.50,934.25,907.15,911.65,414230,380201341.1
26-Oct-12,910.30,922.75,898.90,909.70,178154,162603961.8
