Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
07-Jun-16,348.75,352.1,347.3,349.15,4022603,1406612799
08-Jun-16,355.6,358.25,351.6,352.65,2391937,849409543.3
09-Jun-16,355.5,356.4,349.8,351.25,1396930,492632190.8
10-Jun-16,349.7,353.55,347.6,351.1,1965285,690278338.3
13-Jun-16,348.3,350.5,341.55,342.4,1965043,678060761.1
14-Jun-16,343.2,344.5,337.35,342.65,3026950,1030978795
15-Jun-16,348,352.85,347,351.9,2937711,1031745944
16-Jun-16,351.55,351.95,341.25,346.5,2355893,813842424.2
17-Jun-16,348,358.9,344.45,357,5039991,1779551492
20-Jun-16,356,366,353.8,364.5,2889376,1044853984
21-Jun-16,362.25,364.7,360.15,362.2,1455994,527522947.5
22-Jun-16,363.95,367,360.85,363.05,2162737,787732454.7
23-Jun-16,364.7,365.75,362,364.8,1266933,460793436.3
24-Jun-16,357,360,348.7,355.85,2203750,778448868.1
27-Jun-16,354,357.95,349.75,351.15,2430919,855271910.7
28-Jun-16,352.35,358.5,351.8,357.1,3191711,1138303448
29-Jun-16,358.5,360.3,354.25,356.2,2225253,795304765
30-Jun-16,358,370,355.45,366.8,3674149,1336091118
01-Jul-16,365.8,372.85,362.65,368.35,2620663,969083763.1
04-Jul-16,370.55,375.9,368.9,373.35,1672423,623987876.5
05-Jul-16,374,374,363.6,365.9,1405904,515824746.8
07-Jul-16,365,371.3,362.65,363.35,2348712,863875160.1
08-Jul-16,360.75,362.25,353,355.05,1574377,559086225.9
11-Jul-16,365.9,365.9,358.05,359.85,2196825,793541070
12-Jul-16,362.4,364.5,360,363.3,1201581,435697275.7
13-Jul-16,365.9,365.95,359.1,363.7,1450574,525316904.9
14-Jul-16,363.6,367.7,361.85,366.95,989099,362073003.6
15-Jul-16,365.4,379.95,365.4,378.9,2536815,950267327.3
18-Jul-16,379.7,380,361.05,362.65,3238034,1197371275
19-Jul-16,359.05,368.2,357.6,364.3,3201786,1164003745
20-Jul-16,364.2,366.95,361.35,363.4,2564180,932126447.7
21-Jul-16,365.9,369.7,362.5,367.85,1981372,727073987
22-Jul-16,368,369.8,364.1,367.35,2307181,847789547.5
25-Jul-16,364,372.8,363.1,371.95,1668016,616277395.6
26-Jul-16,370,372.95,366.85,369.85,1678667,619702821.4
27-Jul-16,370.7,377.25,368.4,372.55,2337156,871096300.4
28-Jul-16,381.8,381.8,363.6,371.9,7405226,2750713194
29-Jul-16,371.9,371.9,360.45,362.05,3765474,1370244887
01-Aug-16,363.45,367,362.1,364,1599986,582825166.9
02-Aug-16,361.9,364.8,355.65,357.8,3206029,1158353162
03-Aug-16,359.15,360.4,353.25,358.85,2245459,801754318.9
04-Aug-16,359.8,368.75,353.05,366.25,2975193,1075955372
05-Aug-16,367.2,371.5,359.55,364,3838729,1404127553
08-Aug-16,363,364.9,349.3,351.55,4841846,1713947718
09-Aug-16,352.9,355.05,344.75,349.45,5168298,1809689740
10-Aug-16,351,353.4,345,346.45,1535903,536248418.4
11-Aug-16,346.25,346.75,342,346.35,2485709,856092436.4
12-Aug-16,344.25,349,344.1,347.8,2356815,816972624.8
16-Aug-16,348.5,351.35,339.7,342.45,3742897,1286595290
17-Aug-16,343.5,349.5,343.5,345.65,3222433,1117377683
18-Aug-16,348.4,353.9,346.85,353.15,1886760,662911489.6
19-Aug-16,354,355,347.3,351.4,1708149,598097673.4
22-Aug-16,351,353,346.1,350.2,886465,309891787.5
23-Aug-16,348,355.4,344.7,353.75,2295101,803695440.1
24-Aug-16,354,358.35,350,352.6,1631250,576909699.5
25-Aug-16,351.25,354,344.1,346,3229352,1121061799
26-Aug-16,347.5,348.1,341.55,343.95,1127246,387863910.5
29-Aug-16,343.5,347.75,335.25,342.6,2549031,871185362
30-Aug-16,342.75,344.1,328.75,331.85,4044189,1348408562
31-Aug-16,332.25,336.9,328.85,331.65,6401848,2126450776
01-Sep-16,330,332.35,301.5,310.85,35411027,11025358117
02-Sep-16,308.15,320.95,306.5,318.9,15330612,4815907586
06-Sep-16,318.9,322.8,312.65,321.5,7067529,2246594668
07-Sep-16,318.5,322.4,316.1,320.15,3414495,1089972215
08-Sep-16,320.15,327.2,319,324.4,3442329,1113620264
09-Sep-16,323.5,326.75,318.35,322.1,2956745,953330433.6
12-Sep-16,317.9,321.95,314.1,318.05,3149855,1003435986
14-Sep-16,317.1,323.25,317.1,319.85,2004656,641821359
