Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
5-May-17,936.00,937.35,920.00,931.50,2216394,2054687486
08-May-17,938.00,948.55,932.00,945.50,2353549,2213917286
09-May-17,950.60,951.95,942.10,946.65,2824686,2675013934
10-May-17,947.15,950.00,937.15,943.65,1682151,1586652710
11-May-17,946.85,949.85,937.55,944.10,1614741,1526662167
12-May-17,953.00,966.00,951.45,964.25,5489998,5269035238
15-May-17,963.50,963.50,949.10,951.55,3648582,3471579745
16-May-17,953.10,960.15,946.95,955.00,3065084,2920775219
17-May-17,951.60,958.45,943.85,952.80,1457754,1384109512
18-May-17,943.00,973.90,942.85,961.75,4028924,3878281748
19-May-17,961.50,962.70,947.85,957.95,2128698,2031155370
22-May-17,958.40,966.90,956.55,961.45,2751526,2647754820
23-May-17,964.65,967.00,954.10,957.30,2019991,1939514665
24-May-17,960.00,965.50,949.60,954.80,2818143,2700826858
25-May-17,961.00,986.60,961.00,983.30,5219257,5105249719
26-May-17,987.00,1000.00,980.60,995.70,2494002,2479193882
29-May-17,990.90,996.70,975.70,985.15,3154217,3100929032
30-May-17,982.00,1000.00,978.65,996.20,1858455,1850003638
31-May-17,993.55,993.55,974.85,977.05,3881950,3805051203
1-Jun-17,969.30,979.70,958.55,971.40,2754303,2670262585
02-Jun-17,973.40,975.45,964.20,969.45,1958983,1897792689
05-Jun-17,970.00,972.00,957.05,958.75,2731349,2626761463
06-Jun-17,965.00,987.50,964.40,979.35,3504343,3434525874
07-Jun-17,985.00,988.90,945.00,961.30,6227523,6001805446
08-Jun-17,962.95,962.95,948.15,956.45,3097676,2951501577
09-Jun-17,938.55,950.95,923.00,948.60,7378831,6918028230
12-Jun-17,943.35,965.20,940.10,963.85,4295838,4097996731
13-Jun-17,953.50,962.95,951.60,957.80,2468897,2365833764
14-Jun-17,960.00,961.90,951.20,958.60,3719055,3559194777
15-Jun-17,959.65,967.95,949.60,952.10,2764031,2642752622
16-Jun-17,949.10,953.85,936.00,940.25,5474225,5159269025
19-Jun-17,939.95,940.25,928.00,929.85,3427930,3194759665
20-Jun-17,935.00,946.90,934.05,943.55,2592198,2444471885
21-Jun-17,945.00,949.00,936.05,943.35,1867932,1757791621
22-Jun-17,947.70,968.70,935.10,940.15,4732621,4513895878
23-Jun-17,945.00,949.15,938.00,943.25,3201509,3021488880
27-Jun-17,945.00,948.00,923.75,927.05,3452330,3207420227
28-Jun-17,932.80,933.00,921.00,924.70,2952612,2733310089
29-Jun-17,930.20,947.95,926.60,930.20,7957020,7440838110
30-June-17,930.80,938.00,929.00,935.55,2108350,1970090052
03-July-17,941.10,955.00,934.60,951.90,2544462,2406192366
04-July-17,953.85,970.00,949.40,962.15,2583863,2485762341
05-July-17,959.00,959.00,945.40,950.90,2113114,2008422007
06-July-17,945.00,957.00,944.20,947.00,1914860,1819345351
07-July-17,943.85,945.45,933.05,935.40,2888443,2711621746
10-July-17,945.00,1028.90,937.30,957.05,847546,808125207.5
11-July-17,956.65,989.50,956.65,975.35,5769854,5648578195
12-July-17,974.95,981.50,968.75,972.35,3137988,3057672504
13-July-17,977.25,983.45,964.10,977.05,2585196,2525724825
14-July-17,999.45,1006.85,966.05,972.05,11239090,11076697426
17-July-17,975.00,992.00,974.00,984.05,3849125,3789602386
18-July-17,986.05,1004.80,981.10,985.60,4130090,4112296075
19-July-17,981.45,988.65,969.10,979.85,2945139,2874801640
20-July-17,979.30,979.85,966.95,969.45,3404870,3305085666
21-July-17,973.00,982.55,971.40,980.10,2990377,2925921840
24-July-17,983.50,994.00,982.60,990.55,3064588,3032646958
25-July-17,990.00,999.00,986.20,993.85,3572807,3547155444
26-July-17,998.10,999.00,990.40,994.05,3435012,3413852845
27-July-17,996.00,1004.00,966.80,971.05,6338426,6222055607
28-July-17,976.00,1003.00,962.30,997.35,5549214,5478201640
31-July-17,991.90,1021.70,986.75,1011.20,9579124,9653593591
01-Aug-17,1011.00,1017.00,998.35,1005.55,3844699,3865373993
02-Aug-17,1006.00,1012.75,987.20,993.35,2128792,2126780545
03-Aug-17,991.00,998.75,980.25,984.00,2320174,2292869697
04-Aug-17,988.00,989.00,976.05,983.75,2674509,2625108705
7-Aug-17,983.50,983.75,965.70,968.25,3036872,2952834608
8-Aug-17,968.50,970.25,955.05,963.85,3002324,2892578681
9-Aug-17,967.65,973.90,964.55,969.35,1961205,1901504150
10-Aug-17,969.90,987.50,969.35,981.25,4570342,4488072667
11-Aug-17,976.00,997.00,969.60,987.70,3272078,3228922463
14-Aug-17,988.00,989.20,977.15,981.45,1908235,1873162936
16-Aug-17,982.00,986.10,969.00,975.20,3089040,3014254126
17-Aug-17,1005.00,1029.25,998.05,1020.85,12892130,13054759561
18-Aug-17,1017.90,1017.90,884.20,923.25,82202480,76625024333
21-Aug-17,924.00,924.00,870.00,873.40,45203588,40171479151
22-Aug-17,895.20,897.05,860.00,875.40,24621299,21575553324
23-Aug-17,880.00,903.70,873.90,892.80,30642095,27282913879
24-Aug-17,910.00,918.25,902.35,912.15,21190262,19298432842
28-Aug-17,943.95,953.95,938.00,941.00,20356054,19232850863
29-Aug-17,941.45,942.00,925.55,927.45,6684696,6240109664
30-Aug-17,937.20,939.00,924.10,926.65,8074832,7514125822
31-Aug-17,928.80,928.95,912.90,914.95,7511226,6886139481
01-Sep-17,915.95,925.90,910.00,919.95,4216961,3877809876
04-Sep-17,921.00,921.10,893.50,900.20,5088554,4600718442
05-Sep-17,902.00,905.00,897.25,901.90,4891696,4407506232
06-Sep-17,900.00,900.30,890.00,895.60,3867955,3459475483
07-Sep-17,900.00,900.50,892.35,895.75,3120596,2796180948
8-Sep-17,899.00,899.00,882.10,884.30,4302271,3820696332
11-Sep-17,890.40,891.80,873.65,878.70,6893821,6072846748
12-Sep-17,882.55,887.75,878.80,884.05,8620677,7603270020
13-Sep-17,885.50,887.60,881.00,883.75,5739114,5071927188
14-Sep-17,884.50,896.60,881.60,892.40,6849003,6105328297
15-Sep-17,892.30,913.25,892.20,908.25,6729730,6089408744
18-Sep-17,910.00,917.75,906.30,909.10,4237930,3868513182
19-Sep-17,908.00,916.00,903.50,912.25,3016665,2748642130
20-Sep-17,917.00,917.00,907.45,912.70,2883915,2627153268
21-Sep-17,915.00,915.25,908.15,909.55,4102076,3736951963
22-Sep-17,908.15,910.25,888.00,898.30,8802044,7898273388
25-Sep-17,901.00,901.95,889.10,895.35,4544350,4064084916
26-Sep-17,897.00,908.40,894.30,905.90,3683239,3315416203
27-Sep-17,906.10,907.90,895.10,899.80,3000069,2701542236
28-Sep-17,896.10,903.90,894.30,896.00,8768633,7871666208
29-Sep-17,898.00,902.40,895.00,899.90,2852916,2565651057
03-Oct-17,910.10,912.00,901.60,903.55,2473761,2240392336
04-Oct-17,903.00,905.40,897.15,899.60,2495746,2248997167
05-Oct-17,900.00,904.95,899.00,903.05,4305650,3887063883
06-Oct-17,904.00,922.00,903.95,920.15,4287154,3929315140
09-Oct-17,920.00,929.00,914.00,923.90,1752416,1618746285
10-Oct-17,939.95,939.95,929.55,935.45,3571610,3341105876
11-Oct-17,935.45,938.00,928.00,930.70,2991252,2788647778
12-Oct-17,930.00,934.35,919.55,927.30,5140486,4753015820
13-Oct-17,932.80,933.50,927.55,930.10,3590364,3337968430
16-Oct-17,935.95,942.00,933.00,939.00,2879375,2700304306
17-Oct-17,936.80,936.80,929.50,930.50,2812551,2621611619
18-Oct-17,928.90,930.00,922.95,924.35,3615926,3350868643
19-Oct-17,930.00,932.00,925.20,926.95,545717,506094102.6
23-Oct-17,930.00,942.00,928.10,939.50,4577048,4284920340
24-Oct-17,946.00,946.65,921.60,926.50,7264664,6782341418
25-Oct-17,919.00,944.70,915.25,935.30,6992067,6530973260
26-Oct-17,942.00,951.80,940.10,947.35,16829629,15928597286
27-Oct-17,955.00,957.70,944.00,946.35,4262478,4044495152
30-Oct-17,954.65,954.65,941.05,944.10,6484163,6140238516
31-Oct-17,925.00,930.00,920.00,921.85,4977494,4602897345
01-Nov-17,925.00,929.40,923.30,927.05,2816567,2607904113
02-Nov-17,923.05,926.00,920.00,922.90,2343069,2162955678
03-Nov-17,917.00,929.90,916.95,926.65,1849543,1713353953
06-Nov-17,923.15,935.00,922.65,928.70,2533267,2349782381
07-Nov-17,926.25,960.00,925.85,955.50,6721410,6393285439
8-Nov-17,960.25,961.85,947.50,952.30,2684997,2564719195
9-Nov-17,953.00,963.00,948.25,954.50,2361616,2255155224
10-Nov-17,958.80,964.35,950.00,962.05,3294714,3161144505
13-Nov-17,962.05,969.40,949.35,951.95,2510608,2405762223
14-Nov-17,951.95,954.85,943.25,949.10,2866855,2719052888
15-Nov-17,945.15,953.50,944.50,951.80,3511758,3338522494
16-Nov-17,951.80,995.90,948.50,988.40,7843751,7675734065
17-Nov-17,985.50,985.50,965.15,970.95,4028835,3924263396
20-Nov-17,969.00,971.00,957.25,960.55,2830595,2721971566
21-Nov-17,961.30,971.50,960.05,966.25,2682328,2593469144
22-Nov-17,966.60,971.05,963.30,966.30,3042460,2940669553
23-Nov-17,971.50,994.45,969.00,991.25,5947309,5856291708
24-Nov-17,990.90,1019.30,990.20,1009.55,9309956,9403912992
27-Nov-17,1006.70,1006.70,993.30,998.75,3008865,3002607598
28-Nov-17,994.40,999.90,981.30,984.70,2308434,2282406446
29-Nov-17,987.65,991.95,980.30,982.70,1919035,1889032576
30-Nov-17,989.45,989.45,968.35,976.10,8633472,8445010644
01-Dec-17,979.40,983.20,957.05,958.80,2042500,1973590610
04-Dec-17,980.00,996.80,968.55,985.35,8905803,8778677871
5-Dec-17,985.35,1003.00,979.00,984.35,4988369,4943095296
6-Dec-17,985.00,994.10,984.00,990.30,3745047,3705251090
7-Dec-17,989.00,1002.90,985.60,999.80,3774772,3759492032
8-Dec-17,1001.00,1007.00,995.00,1001.85,2991622,2998343941
11-Dec-17,994.95,1006.90,993.95,1005.30,2569549,2571485667
12-Dec-17,1002.00,1014.00,1002.00,1010.50,4660217,4704066529
13-Dec-17,1010.90,1019.00,997.65,1003.75,2681199,2709482013
14-Dec-17,1005.25,1015.00,999.30,1013.10,3011786,3042976537
15-Dec-17,1013.00,1026.40,1011.85,1022.90,5192067,5291809165
18-Dec-17,1011.90,1030.70,1005.80,1016.60,2017724,2056905715
19-Dec-17,1017.45,1017.95,999.55,1003.95,3559449,3585173633
20-Dec-17,1005.10,1018.60,1001.00,1015.85,2093163,2116374407
21-Dec-17,1014.80,1028.95,998.40,1022.05,5529581,5612359298
22-Dec-17,1016.00,1044.80,1016.00,1039.35,6453470,6680838538
26-Dec-17,1030.00,1041.50,1023.00,1035.60,5404453,5592980614
27-Dec-17,1028.00,1039.10,1027.40,1034.25,3485086,3603591315
28-Dec-17,1030.00,1040.00,1023.80,1033.25,4216736,4361825789
29-Dec-17,1030.10,1048.80,1030.00,1042.05,3300884,3437461626
01-Jan-18,1037.70,1044.50,1030.00,1033.55,2715670,2814045584
01-Jan-18,1037.70,1044.50,1030.00,1033.55,2715670,2814045584
02-Jan-18,1037.25,1042.00,1023.00,1029.70,3056124,3152175059
3-Jan-18,1028.50,1031.60,1018.60,1021.30,3423276,3500475319
4-Jan-18,1021.00,1021.00,1009.60,1015.40,4473807,4538566058
5-Jan-18,1015.30,1026.40,1006.00,1012.00,5512988,5584193774
8-Jan-18,1024.90,1039.00,1020.05,1036.05,2797345,2879337346
9-Jan-18,1040.00,1044.90,1028.90,1041.35,4974118,5155470379
10-Jan-18,1046.80,1056.00,1033.05,1052.25,4734317,4942421496
11-Jan-18,1055.25,1083.40,1055.25,1075.80,8387735,8973696876
12-Jan-18,1085.80,1085.90,1070.55,1078.45,9008264,9702068541
15-Jan-18,1080.00,1092.95,1065.10,1081.15,5324625,5755343849
16-Jan-18,1081.25,1134.80,1081.25,1122.85,11323483,12645064684
17-Jan-18,1124.85,1161.80,1123.00,1152.10,13077044,15051075123
18-Jan-18,1145.00,1164.90,1132.10,1152.70,6602485,7580886446
19-Jan-18,1145.00,1147.90,1136.00,1143.45,2994139,3419578450
22-Jan-18,1132.15,1156.95,1132.00,1150.00,4825107,5521427259
23-Jan-18,1155.00,1188.00,1155.00,1177.10,7701898,9063945901
24-Jan-18,1174.80,1221.05,1167.50,1185.80,10302359,12316700910
25-Jan-18,1182.00,1183.40,1162.25,1175.40,6774457,7936550004
29-Jan-18,1166.55,1196.25,1165.20,1182.90,5411501,6413293460
30-Jan-18,1178.90,1183.10,1162.70,1170.65,4314156,5044647007
31-Jan-18,1159.15,1166.60,1142.15,1150.25,4606849,5315999681
1-Feb-18,1142.20,1157.90,1118.55,1144.60,6502727,7420853135
2-Feb-18,1135.25,1162.90,1130.10,1143.25,5122243,5864360400
5-Feb-18,1140.00,1154.85,1135.85,1138.20,4930110,5636743205
6-Feb-18,1099.95,1128.35,1095.15,1107.75,5276039,5876800709
7-Feb-18,1116.00,1124.80,1103.55,1109.05,4171028,4644378627
8-Feb-18,1122.80,1146.40,1116.55,1134.25,4403622,5013613141
